episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,550.6500244140625,831.0,1.0,0.36653396487236023,3.4431722164154053
2,1379.5,2206.0,1.0,3.636831283569336,0.06987395137548447
3,905.7999877929688,1056.0,1.0,5.0364837646484375,0.04997432604432106
4,602.2000122070312,680.0,1.0,4.848388195037842,0.04639357328414917
5,876.0999755859375,1074.0,1.0,5.776324272155762,0.079473115503788
6,1150.800048828125,1468.0,1.0,7.469216823577881,0.0726870521903038
7,751.4500122070312,671.0,1.0,7.578924179077148,0.08692574501037598
8,1381.8499755859375,1583.0,1.0,9.113761901855469,0.07452952861785889
9,1416.6500244140625,1735.0,1.0,10.783714294433594,0.05506913736462593
10,2270.14990234375,2889.0,1.0,13.187305450439453,0.04017175734043121
11,1011.0499877929688,1207.0,1.0,13.923033714294434,0.06236850470304489
12,1251.449951171875,1471.0,1.0,14.644807815551758,0.049823347479104996
13,1975.1500244140625,2405.0,1.0,16.74966049194336,0.04183768481016159
14,1589.449951171875,1895.0,1.0,18.207536697387695,0.03703572601079941
15,1450.5,1618.0,1.0,18.72420310974121,0.05474670231342316
16,1111.0,1320.0,1.0,19.918724060058594,0.04384652525186539
17,1100.9000244140625,1266.0,1.0,20.430587768554688,0.04055469483137131
18,2475.25,3251.0,1.0,22.210037231445312,1.576958179473877
19,570.0,508.0,1.0,22.625598907470703,1.5744197368621826
20,2192.25,2799.0,1.0,23.62371063232422,0.061744071543216705
21,1022.8499755859375,1195.0,1.0,24.607284545898438,0.05096881464123726
22,717.9000244140625,590.0,1.0,24.80276107788086,0.052600473165512085
23,693.5,598.0,1.0,25.149715423583984,0.04560980945825577
24,981.9000244140625,1390.0,1.0,25.696735382080078,0.025313757359981537
25,1145.8499755859375,1391.0,1.0,26.931604385375977,0.04415837302803993
26,981.4000244140625,1064.0,1.0,27.189895629882812,0.037830058485269547
27,1150.050048828125,2475.0,1.0,28.28408432006836,0.05969913303852081
28,3552.949951171875,6337.0,1.0,33.24226379394531,0.07277631759643555
29,1014.5499877929688,1185.0,1.0,33.60932540893555,1.6062006950378418
30,771.8499755859375,839.0,1.0,33.68812561035156,0.05762041360139847
31,1199.25,1347.0,1.0,34.432212829589844,0.06889152526855469
32,1293.0999755859375,1662.0,1.0,34.771385192871094,0.03991679847240448
33,2426.949951171875,3417.0,1.0,35.55585861206055,0.035027362406253815
34,1863.199951171875,2356.0,1.0,35.95980453491211,0.02659749425947666
35,1275.550048828125,1389.0,1.0,36.65252685546875,0.01491369679570198
36,1688.3499755859375,2205.0,1.0,36.992122650146484,0.023371679708361626
37,1539.800048828125,1864.0,1.0,37.215843200683594,0.018567290157079697
38,1248.800048828125,1956.0,1.0,37.647186279296875,0.07586321979761124
39,1855.199951171875,2580.0,1.0,38.722923278808594,0.07041672617197037
40,606.2000122070312,392.0,1.0,38.67979431152344,0.03169269487261772
41,1809.6500244140625,3155.0,1.0,39.19829559326172,2.8385374546051025
42,2493.85009765625,3743.0,1.0,39.65062713623047,0.0615992397069931
43,1682.949951171875,2105.0,1.0,40.095008850097656,0.02928628958761692
44,1903.3499755859375,2369.0,1.0,40.749290466308594,0.07117924839258194
45,2242.199951171875,2952.0,1.0,40.834930419921875,0.04262976348400116
46,1776.449951171875,2491.0,1.0,41.65351867675781,0.07717388868331909
47,402.8999938964844,170.0,1.0,41.759033203125,0.1114819347858429
48,459.3999938964844,240.0,1.0,41.60723876953125,0.09578258544206619
49,1434.550048828125,2273.0,1.0,41.588531494140625,0.11001072824001312
50,651.7999877929688,664.0,1.0,41.61383819580078,0.07033060491085052
51,876.7999877929688,772.0,1.0,41.78089904785156,0.05918026342988014
52,1030.9000244140625,1066.0,1.0,42.278316497802734,0.045622482895851135
53,941.0,912.0,1.0,42.37554931640625,0.0767117589712143
54,752.0,612.0,1.0,42.18795394897461,1.6046032905578613
55,1069.9000244140625,1134.0,1.0,42.8769645690918,0.08499789237976074
56,2335.89990234375,3078.0,1.0,44.101016998291016,2.772970199584961
57,1251.550048828125,1421.0,1.0,44.83302688598633,0.08019118010997772
58,1698.25,2119.0,1.0,44.843116760253906,0.035462237894535065
59,342.25,559.0,0.0,44.816078186035156,0.06458056718111038
