episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,487.0,745.0,1.0,0.41301462054252625,0.01704137586057186
2,399.70001220703125,543.0,1.0,0.8521860837936401,0.04186045750975609
3,461.79998779296875,732.0,1.0,1.3995835781097412,0.08334420621395111
4,461.8999938964844,601.0,1.0,1.6705543994903564,0.022319214418530464
5,414.6000061035156,494.0,1.0,2.0714471340179443,0.02807328850030899
6,376.0,330.0,1.0,2.0853047370910645,0.026556987315416336
7,574.0,880.0,1.0,2.5534327030181885,0.029719848185777664
8,495.5,840.0,1.0,3.128331184387207,0.016315484419465065
9,417.20001220703125,658.0,1.0,3.132033586502075,0.016797799617052078
10,609.2999877929688,1047.0,1.0,3.5972516536712646,1.559659719467163
11,480.1000061035156,594.0,1.0,4.070230007171631,0.0265941321849823
12,564.4000244140625,806.0,1.0,4.558212757110596,1.5572569370269775
13,569.0999755859375,779.0,1.0,4.876204013824463,1.5679717063903809
14,783.5,1380.0,1.0,5.286561012268066,1.5563470125198364
15,499.29998779296875,607.0,1.0,5.552751064300537,0.02643423154950142
16,792.0,1355.0,1.0,6.022855281829834,0.019762057811021805
17,513.0,600.0,1.0,6.02708625793457,0.014383459463715553
18,721.5999755859375,1164.0,1.0,6.831172466278076,0.010502750985324383
19,355.29998779296875,222.0,1.0,6.815299034118652,0.010210550390183926
20,518.7999877929688,647.0,1.0,7.1314592361450195,0.014756377786397934
21,512.5,610.0,1.0,7.112383842468262,0.014312573708593845
22,486.70001220703125,533.0,1.0,7.4629435539245605,0.020104197785258293
23,385.1000061035156,299.0,1.0,7.410378456115723,0.009924344718456268
24,464.8999938964844,481.0,1.0,7.445541858673096,1.551361083984375
25,350.3999938964844,211.0,1.0,7.987930774688721,0.02021867223083973
26,360.0,210.0,1.0,7.964424133300781,0.011600128374993801
27,440.20001220703125,408.0,1.0,8.02482795715332,0.014633655548095703
28,398.79998779296875,322.0,1.0,8.434810638427734,0.033886343240737915
29,768.0,1350.0,1.0,8.685188293457031,0.013119006529450417
30,556.2000122070312,3118.0,1.0,10.644065856933594,0.10804200917482376
31,654.4000244140625,2361.0,1.0,15.55208683013916,0.18605566024780273
32,710.7999877929688,1637.0,1.0,16.741090774536133,2.5630173683166504
33,829.5999755859375,1634.0,1.0,17.56707000732422,1.6762709617614746
34,277.29998779296875,937.0,1.0,18.137298583984375,1.8199506998062134
35,311.70001220703125,173.0,1.0,18.08285903930664,0.24145416915416718
36,333.0,190.0,1.0,18.186065673828125,0.2822043001651764
37,431.20001220703125,408.0,1.0,18.329496383666992,0.17587652802467346
38,414.29998779296875,352.0,1.0,18.715389251708984,0.07787327468395233
39,314.79998779296875,107.0,1.0,18.56351089477539,1.6481519937515259
40,374.8999938964844,316.0,1.0,18.86945343017578,0.19815035164356232
41,327.8999938964844,131.0,1.0,18.602956771850586,0.15639716386795044
42,462.0,485.0,1.0,19.336925506591797,0.13456664979457855
43,295.0,150.0,1.0,19.40291404724121,0.08284381777048111
44,298.79998779296875,147.0,1.0,19.221179962158203,0.10540907084941864
45,335.29998779296875,197.0,1.0,19.459110260009766,0.07348353415727615
46,377.6000061035156,314.0,1.0,19.371997833251953,0.1374450922012329
47,299.8999938964844,61.0,1.0,19.582469940185547,0.1444653570652008
48,319.70001220703125,313.0,1.0,19.568544387817383,0.10806232690811157
49,373.3999938964844,281.0,1.0,19.668561935424805,0.08651944249868393
50,318.3999938964844,141.0,1.0,19.618377685546875,0.1497446596622467
51,287.70001220703125,128.0,1.0,19.877883911132812,0.06475917994976044
52,337.0,165.0,1.0,19.860666275024414,0.08562353253364563
53,344.0,170.0,1.0,19.918033599853516,0.09304849803447723
54,308.1000061035156,79.0,1.0,19.843334197998047,0.08701352775096893
55,306.70001220703125,73.0,1.0,19.727590560913086,0.0800844356417656
56,300.5,60.0,1.0,19.87603759765625,0.03790780156850815
57,289.8999938964844,31.0,1.0,19.816194534301758,0.07142554223537445
58,347.79998779296875,202.0,1.0,19.699100494384766,0.060152698308229446
59,299.5,55.0,1.0,19.822036743164062,0.10036981850862503
60,353.6000061035156,199.0,1.0,20.00421142578125,1.590626835823059
61,345.0,170.0,1.0,20.063875198364258,0.03207804262638092
62,322.79998779296875,117.0,1.0,20.026073455810547,0.05540524795651436
63,328.29998779296875,127.0,1.0,19.99420738220215,0.05003684014081955
64,326.8999938964844,131.0,1.0,20.070446014404297,0.0309421569108963
65,361.3999938964844,211.0,1.0,20.150049209594727,0.03215712681412697
66,375.70001220703125,248.0,1.0,20.22275733947754,0.021824192255735397
67,348.0,215.0,1.0,20.290809631347656,2.4921059608459473
68,613.2000122070312,963.0,1.0,20.2556095123291,2.4990015029907227
69,1193.5,2565.0,1.0,20.42881965637207,0.016416316851973534
70,610.5999755859375,929.0,1.0,20.402671813964844,0.02145085297524929
71,505.5,710.0,1.0,20.548940658569336,0.028513778001070023
72,559.7000122070312,813.0,1.0,20.67270278930664,0.014291499741375446
73,495.1000061035156,734.0,1.0,20.611190795898438,0.013488066382706165
74,733.7000122070312,1218.0,1.0,20.665199279785156,0.015744730830192566
75,652.7000122070312,988.0,1.0,20.658580780029297,2.4858124256134033
76,999.5999755859375,1904.0,1.0,20.79306983947754,2.4805784225463867
77,681.4000244140625,1126.0,1.0,20.830188751220703,0.06541251391172409
78,431.6000061035156,389.0,1.0,20.77346420288086,0.03112139366567135
79,452.70001220703125,463.0,1.0,20.916391372680664,2.4753482341766357
80,827.9000244140625,1916.0,0.0,20.782943725585938,0.017223240807652473
