number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_exploration_steps,params_final_epsilon,params_gamma,params_hidden_dim,params_lr,params_num_heads,params_target_update_freq,state
0,-817.0,2025-11-05 09:52:58.892230,2025-11-05 09:53:34.204762,0 days 00:00:35.312532,64,0.36673212887193707,8691,0.0533775822930525,0.9469403888034406,127,0.0017487922412763005,8,1619,COMPLETE
1,-1000.0,2025-11-05 09:53:34.206806,2025-11-05 09:54:13.795447,0 days 00:00:39.588641,64,0.14984901635497733,17625,0.02009972889773043,0.9484589311682259,247,0.0003591681505618279,6,2604,COMPLETE
2,-1000.0,2025-11-05 09:54:13.796446,2025-11-05 09:54:57.153869,0 days 00:00:43.357423,128,0.2632225071709452,13370,0.062481789934216624,0.9015803444187201,255,0.002528964157677286,4,761,COMPLETE
3,-966.6666666666666,2025-11-05 09:54:57.154827,2025-11-05 09:55:35.107383,0 days 00:00:37.952556,128,0.4027649249061225,6449,0.06444762245381795,0.926037716248749,142,0.0010231896708131772,5,2554,COMPLETE
4,-1000.0,2025-11-05 09:55:35.108383,2025-11-05 09:56:10.654270,0 days 00:00:35.545887,32,0.22293327326134751,12875,0.0704257511206402,0.9212825124849243,210,0.00013430073729764154,7,4495,COMPLETE
5,-1000.0,2025-11-05 09:56:10.655269,2025-11-05 09:56:46.072045,0 days 00:00:35.416776,64,0.42128602657058845,10434,0.0790779293809293,0.9112125846927448,143,0.0010070901401293354,4,1579,COMPLETE
6,-1000.0,2025-11-05 09:56:46.073552,2025-11-05 09:57:20.543148,0 days 00:00:34.469596,32,0.3027239923432965,11310,0.016723560791100735,0.9285451887519391,161,0.00019945143137548992,6,949,COMPLETE
7,-1000.0,2025-11-05 09:57:20.545148,2025-11-05 09:57:55.407709,0 days 00:00:34.862561,64,0.1467792414840393,19425,0.0818552158444975,0.9665581547474263,143,0.00036451732277208545,2,4927,COMPLETE
8,-910.6666666666666,2025-11-05 09:57:55.408710,2025-11-05 09:58:32.518464,0 days 00:00:37.109754,32,0.25738218095436916,10407,0.0625191403510067,0.9560913826068894,248,0.0005419831101532638,5,4061,COMPLETE
9,-846.6666666666666,2025-11-05 09:58:32.519422,2025-11-05 09:59:08.366074,0 days 00:00:35.846652,128,0.45278108179696674,8668,0.04183486659431508,0.9694936456546147,144,0.003842809008881102,7,2304,COMPLETE
10,-886.3333333333334,2025-11-05 09:59:08.367072,2025-11-05 09:59:41.439833,0 days 00:00:33.072761,64,0.3527631542505245,5090,0.09824112049725311,0.987269843176057,94,0.0017467871867011735,8,1635,COMPLETE
11,-1000.0,2025-11-05 09:59:41.440831,2025-11-05 10:00:14.364682,0 days 00:00:32.923851,128,0.4709513176433632,8394,0.040067172370819346,0.973994456047265,81,0.004993675869871375,8,3397,COMPLETE
12,-966.6666666666666,2025-11-05 10:00:14.365640,2025-11-05 10:00:48.757793,0 days 00:00:34.392153,128,0.4951089243223251,7995,0.044684868190735264,0.9412904109363244,114,0.00434698300693985,7,2027,COMPLETE
13,-1000.0,2025-11-05 10:00:48.758793,2025-11-05 10:01:25.183683,0 days 00:00:36.424890,64,0.37613468702493413,14789,0.03712817252989966,0.9636532228817526,173,0.0022897345975181433,8,3129,COMPLETE
14,-760.0,2025-11-05 10:01:25.184686,2025-11-05 10:02:02.684885,0 days 00:00:37.500199,128,0.43976599890939955,8349,0.04945808098294383,0.9850739195978265,190,0.0014263005816631295,7,1962,COMPLETE
15,-819.3333333333334,2025-11-05 10:02:02.685885,2025-11-05 10:02:39.143400,0 days 00:00:36.457515,64,0.34597794891799893,6283,0.05113364895904039,0.9863206250301421,203,0.001603019767313077,6,1328,COMPLETE
16,-933.3333333333334,2025-11-05 10:02:39.144400,2025-11-05 10:03:16.900479,0 days 00:00:37.756079,128,0.43613136091880195,9401,0.03075374207288136,0.941646207049028,187,0.0009398422654253337,7,1820,COMPLETE
17,-1000.0,2025-11-05 10:03:16.902480,2025-11-05 10:03:50.727895,0 days 00:00:33.825415,128,0.322651039957807,6512,0.027209024532334595,0.9786187500410705,112,0.0014844555775537583,2,557,COMPLETE
18,-1000.0,2025-11-05 10:03:50.728895,2025-11-05 10:04:27.652176,0 days 00:00:36.923281,64,0.38673030337188585,15412,0.05111317907270977,0.9499422866438811,224,0.0006046378561532289,8,3346,COMPLETE
19,-966.6666666666666,2025-11-05 10:04:27.653176,2025-11-05 10:04:59.620280,0 days 00:00:31.967104,32,0.19377824636117905,11610,0.010406444120407185,0.9363318511529558,68,0.002855971114836508,4,1207,COMPLETE
20,-966.6666666666666,2025-11-05 10:04:59.621281,2025-11-05 10:05:34.094471,0 days 00:00:34.473190,128,0.4896978548528523,7468,0.05611936117036539,0.958789683817503,115,0.001399431088847078,6,2046,COMPLETE
21,-748.0,2025-11-05 10:05:34.095474,2025-11-05 10:06:10.277470,0 days 00:00:36.181996,64,0.3412043720650976,5702,0.04951929544261727,0.988922150658495,198,0.001708835446451706,6,1296,COMPLETE
22,-933.3333333333334,2025-11-05 10:06:10.278471,2025-11-05 10:06:47.081704,0 days 00:00:36.803233,64,0.3671502669562451,5030,0.05468935556005945,0.9803175380430558,186,0.0021388264711426144,7,1189,COMPLETE
23,-904.3333333333334,2025-11-05 10:06:47.082649,2025-11-05 10:07:24.341372,0 days 00:00:37.258723,64,0.3185135260264362,9534,0.07324672442944558,0.9891692794333943,222,0.0008273164375090181,8,2254,COMPLETE
24,-966.6666666666666,2025-11-05 10:07:24.342330,2025-11-05 10:08:00.071860,0 days 00:00:35.729530,64,0.4128180419953312,7235,0.03287175957200056,0.9782197245113357,192,0.0031351939870844403,6,1520,COMPLETE
