episode,return,steps,goal
1,-619.7900000000034,500,0
2,-738.9300000000056,500,0
3,-710.0000000000051,500,0
4,-379.50999999999704,500,0
5,-125.82999999999743,500,0
6,-134.75999999999715,500,0
7,162.85000000000252,500,0
8,196.3400000000018,500,0
9,-186.47999999999718,500,0
10,489.32000000000204,500,0
11,920.8799999999951,500,0
12,585.4599999999995,500,0
13,615.8400000000007,500,0
14,460.77000000000254,500,0
15,733.1899999999976,500,0
16,907.3999999999941,500,0
17,915.4499999999957,500,0
18,1228.3099999999984,500,0
19,1459.750000000001,500,0
20,989.7499999999928,500,0
21,1432.370000000001,500,0
22,1798.7900000000031,500,0
23,1580.0699999999995,500,0
24,1753.3000000000038,500,0
25,1688.350000000004,500,0
26,2173.4500000000044,500,0
27,1917.2600000000066,500,0
28,1902.8400000000063,500,0
29,2240.6600000000017,500,0
30,1258.2499999999986,314,1
31,2460.8299999999927,500,0
32,2222.1100000000033,500,0
33,2622.7399999999943,500,0
34,2787.5599999999945,500,0
35,1801.2800000000038,335,1
36,3110.79999999999,500,0
37,3038.289999999993,500,0
38,2997.239999999992,500,0
39,3043.2199999999925,500,0
40,3192.0999999999876,500,0
41,3336.5399999999877,500,0
42,3464.119999999986,500,0
43,2979.3699999999903,500,0
44,3329.579999999985,500,0
45,2945.739999999993,500,0
46,3163.2299999999877,500,0
47,3332.649999999985,500,0
48,2952.52999999999,500,0
49,3337.9699999999843,500,0
50,3270.769999999984,500,0
51,3554.349999999975,500,0
52,3480.6299999999815,500,0
53,3891.4499999999803,500,0
54,3981.5199999999822,500,0
55,3629.5899999999856,500,0
56,3913.9399999999832,500,0
57,3741.029999999982,500,0
58,3411.1699999999823,500,0
59,3192.359999999986,500,0
60,2879.1099999999897,500,0
61,3282.369999999991,500,0
62,3607.9299999999826,500,0
63,3339.24999999999,500,0
64,3658.2999999999847,500,0
65,3721.9499999999844,500,0
66,3735.5799999999813,500,0
67,3595.5599999999863,500,0
68,3620.509999999982,500,0
69,3581.249999999983,500,0
70,3378.309999999986,500,0
71,3752.519999999977,500,0
72,3657.2199999999807,500,0
73,3181.45999999999,500,0
74,2122.669999999998,500,0
75,2918.5799999999954,500,0
76,3261.159999999988,500,0
77,3261.949999999982,500,0
78,3154.3799999999865,500,0
79,3145.5199999999836,500,0
80,2945.3099999999895,500,0
81,1789.7200000000037,292,1
82,3578.6399999999794,500,0
83,3538.8499999999813,500,0
84,3684.0599999999813,500,0
