episode,return,steps,goal
1,-735.0000000000065,500,0
2,-695.0000000000063,500,0
3,-705.0000000000052,500,0
4,-757.0000000000055,500,0
5,-297.99999999999704,500,0
6,-195.99999999999693,500,0
7,521.0000000000014,500,0
8,1311.9999999999977,500,0
9,1718.000000000005,500,0
10,582.0000000000018,500,0
11,1121.9999999999948,500,0
12,1934.0000000000077,500,0
13,2432.9999999999973,500,0
14,2135.000000000003,500,0
15,1077.9999999999993,500,0
16,2607.9999999999927,500,0
17,2581.9999999999927,500,0
18,489.0000000000029,500,0
19,3109.999999999986,500,0
20,3339.9999999999745,500,0
21,4089.999999999968,500,0
22,3503.999999999973,500,0
23,3018.999999999975,500,0
24,4465.9999999999845,500,0
25,3730.999999999968,500,0
26,3619.9999999999673,500,0
27,3898.999999999965,500,0
28,4274.9999999999745,500,0
29,3908.9999999999686,500,0
30,4120.99999999997,500,0
31,4520.999999999983,500,0
32,4223.9999999999645,500,0
33,3611.999999999973,500,0
34,4807.999999999992,500,0
35,3981.99999999997,500,0
36,4398.999999999976,500,0
37,5202.000000000001,500,0
38,4476.999999999977,500,0
39,4874.999999999999,500,0
40,4792.999999999992,500,0
41,4963.9999999999945,500,0
42,4729.999999999988,500,0
43,4683.999999999989,500,0
44,4391.999999999973,500,0
45,4191.999999999967,500,0
46,4751.999999999987,500,0
47,5015.999999999999,500,0
48,5152.0,500,0
49,5356.000000000007,500,0
50,5028.999999999999,500,0
51,5358.00000000001,500,0
52,5253.000000000001,500,0
53,4594.999999999988,500,0
54,5121.000000000002,500,0
55,5453.000000000012,500,0
56,5266.000000000004,500,0
57,5249.000000000007,500,0
58,5249.00000000001,500,0
59,5263.000000000006,500,0
60,5353.000000000008,500,0
61,4764.999999999987,500,0
62,5214.000000000004,500,0
63,5741.000000000018,500,0
64,5437.000000000008,500,0
65,5479.000000000007,500,0
66,5729.000000000019,500,0
67,5574.000000000013,500,0
68,5543.000000000012,500,0
69,5820.000000000016,500,0
70,5427.000000000013,500,0
71,5876.00000000002,500,0
72,5450.000000000007,500,0
73,5383.000000000007,500,0
74,5525.000000000012,500,0
75,5971.000000000021,500,0
76,5943.000000000016,500,0
77,5913.00000000002,500,0
78,1979.0000000000064,500,0
79,5839.000000000018,500,0
80,5747.0000000000155,500,0
81,5884.000000000021,500,0
82,5719.000000000016,500,0
83,5803.00000000002,500,0
84,5892.000000000018,500,0
85,5619.000000000009,500,0
86,6071.000000000023,500,0
87,5790.000000000018,500,0
88,5996.000000000021,500,0
89,5946.000000000019,500,0
90,5799.000000000019,500,0
91,5839.000000000022,500,0
92,5782.000000000027,500,0
93,5929.000000000021,500,0
94,5790.000000000016,500,0
95,6047.000000000024,500,0
96,5936.000000000024,500,0
97,5563.000000000025,500,0
98,5786.000000000017,500,0
99,5585.0000000000155,500,0
100,5820.0000000000155,500,0
101,5953.00000000002,500,0
102,5980.00000000002,500,0
103,6079.000000000025,500,0
104,6145.000000000027,500,0
105,5930.000000000016,500,0
106,5992.000000000022,500,0
107,5710.0000000000155,500,0
108,6118.000000000026,500,0
109,6159.000000000026,500,0
110,5724.00000000001,500,0
111,6150.000000000022,500,0
112,5970.000000000018,500,0
113,5896.000000000017,500,0
114,5863.000000000018,500,0
115,6138.000000000026,500,0
116,6055.000000000022,500,0
