episode,return,steps,goal
1,-639.930000000005,500,0
2,-432.57999999999714,500,0
3,-546.7899999999992,500,0
4,-527.7199999999975,500,0
5,-484.159999999997,500,0
6,-101.54999999999731,500,0
7,527.6900000000011,500,0
8,179.9900000000006,500,0
9,212.92000000000118,500,0
10,454.78000000000236,500,0
11,436.4300000000025,500,0
12,172.10000000000042,182,1
13,546.2000000000015,500,0
14,1048.769999999995,500,0
15,635.2299999999992,500,0
16,1021.8599999999955,500,0
17,1019.6999999999897,500,0
18,821.9199999999925,500,0
19,804.8699999999967,500,0
20,761.4699999999981,324,1
21,1129.9699999999943,500,0
22,1556.7900000000013,500,0
23,1786.5800000000042,500,0
24,871.0699999999963,237,1
25,1612.6800000000014,467,1
26,1829.9400000000028,448,1
27,2088.4900000000057,500,0
28,1610.2100000000023,363,1
29,1900.0200000000068,500,0
30,2163.600000000004,500,0
31,2155.720000000002,500,0
32,2344.140000000001,500,0
33,1106.2299999999966,263,1
34,2160.4200000000037,500,0
35,2654.029999999993,499,1
36,2689.5899999999924,500,0
37,2322.829999999999,435,1
38,2843.9399999999896,483,1
39,3168.799999999988,500,0
40,2773.709999999993,500,0
41,2894.059999999989,500,0
42,3270.109999999986,500,0
43,3029.879999999988,500,0
44,3242.6899999999855,500,0
45,3055.8299999999895,500,0
46,3217.2999999999865,500,0
47,3254.669999999986,500,0
48,2615.689999999998,478,1
49,2071.7300000000037,500,0
50,2680.949999999995,453,1
51,2290.59,500,0
52,2950.99999999999,500,0
53,2586.3399999999956,500,0
54,3040.6499999999864,500,0
55,2587.779999999993,500,0
56,2266.380000000001,500,0
57,2503.4299999999953,500,0
58,2867.2399999999902,500,0
59,2256.820000000001,500,0
60,3013.4599999999878,500,0
61,3055.1599999999876,500,0
62,2779.109999999991,500,0
63,954.6699999999979,173,1
64,2274.5199999999986,500,0
65,2802.919999999992,500,0
66,2682.5299999999943,500,0
67,2335.8300000000013,500,0
68,2945.219999999987,500,0
69,2896.3799999999874,500,0
70,3044.8599999999838,500,0
71,2972.739999999987,500,0
72,3114.3299999999854,500,0
73,2829.4599999999914,500,0
74,2838.24999999999,500,0
75,2796.089999999992,500,0
76,2947.2699999999845,500,0
77,3241.7099999999855,500,0
78,3324.409999999984,500,0
79,2965.129999999988,500,0
80,2986.8699999999867,500,0
81,3040.97999999998,500,0
82,3206.189999999984,500,0
83,3477.5899999999788,500,0
84,3096.459999999987,500,0
85,2687.599999999993,500,0
86,2710.179999999995,500,0
87,3066.489999999989,500,0
88,2674.779999999995,500,0
89,3007.789999999989,500,0
90,2876.159999999989,500,0
91,2914.8599999999897,500,0
92,2942.629999999992,500,0
93,3060.6999999999903,500,0
94,2850.939999999994,500,0
95,2555.6499999999965,500,0
96,3142.4999999999845,500,0
97,2903.629999999989,500,0
98,2752.7899999999877,500,0
99,3279.209999999981,500,0
100,2991.159999999988,500,0
101,2241.59,500,0
102,2620.9999999999927,500,0
103,2740.0699999999933,500,0
104,2798.13999999999,500,0
