episode,return,steps,goal
1,-728.0000000000043,500,0
2,-77.99999999999739,500,0
3,-383.9999999999969,500,0
4,-774.0000000000065,500,0
5,415.0000000000024,500,0
6,-318.00000000000125,500,0
7,1530.000000000005,500,0
8,1216.9999999999961,500,0
9,-723.0000000000052,500,0
10,767.0,500,0
11,1607.4099999999985,337,1
12,1894.0000000000032,500,0
13,2249.9999999999995,500,0
14,2952.9999999999854,500,0
15,2013.0000000000086,500,0
16,2725.999999999987,500,0
17,2879.99999999999,500,0
18,1835.000000000006,500,0
19,3281.9999999999836,500,0
20,2908.9999999999877,500,0
21,2474.999999999999,500,0
22,1150.9999999999998,500,0
23,3943.9999999999714,500,0
24,3602.9999999999727,500,0
25,3637.999999999973,500,0
26,3237.9999999999804,500,0
27,3874.9999999999695,500,0
28,3693.999999999976,500,0
29,3688.9999999999764,500,0
30,3715.999999999965,500,0
31,4231.999999999971,500,0
32,4020.9999999999663,500,0
33,4514.999999999979,500,0
34,4551.999999999977,500,0
35,4570.999999999982,500,0
36,4436.999999999982,500,0
37,3874.999999999966,500,0
38,4355.999999999981,500,0
39,4855.999999999991,500,0
40,4574.999999999985,500,0
41,4446.999999999979,500,0
42,4985.9999999999945,500,0
43,4986.999999999996,500,0
44,5276.000000000005,500,0
45,5334.000000000006,500,0
46,4929.999999999995,500,0
47,4925.9999999999945,500,0
48,5283.999999999999,500,0
49,4415.999999999981,500,0
50,4357.999999999971,500,0
51,5223.000000000004,500,0
52,5088.999999999999,500,0
53,5268.000000000006,500,0
54,5355.000000000005,500,0
55,5336.000000000003,500,0
56,4338.9999999999745,500,0
57,5254.000000000006,500,0
58,5214.0000000000055,500,0
59,5334.000000000008,500,0
60,5298.0000000000055,500,0
61,5560.00000000001,500,0
62,5291.000000000006,500,0
63,5153.999999999997,500,0
64,5508.000000000011,500,0
65,5458.000000000006,500,0
66,4340.999999999981,500,0
67,5425.000000000007,500,0
68,5404.000000000008,500,0
69,5467.000000000009,500,0
70,5633.000000000017,500,0
71,5657.000000000015,500,0
72,5685.0000000000155,500,0
73,6007.000000000023,500,0
74,5602.000000000015,500,0
75,5710.0000000000155,500,0
76,5808.000000000017,500,0
77,5632.000000000011,500,0
78,5824.000000000018,500,0
79,5976.00000000002,500,0
80,5735.000000000015,500,0
81,5522.000000000012,500,0
82,5989.000000000023,500,0
83,5669.000000000014,500,0
84,6094.00000000002,500,0
85,5928.000000000023,500,0
