episode,return,steps,goal
1,-206.60000000000184,500,0
2,-59.16000000000092,290,1
3,-197.84000000000145,425,1
4,153.2399999999995,500,0
5,-286.9600000000017,500,0
6,536.3999999999992,499,1
7,241.1199999999996,228,1
8,365.0399999999989,500,0
9,143.9199999999999,155,1
10,913.7599999999991,447,1
11,188.2399999999987,500,0
12,331.2799999999995,284,1
13,140.1599999999999,192,1
14,324.91999999999916,332,1
15,507.7599999999989,500,0
16,167.67999999999986,133,1
17,1043.959999999999,458,1
18,656.8799999999991,347,1
19,1167.9600000000003,500,0
20,1431.9200000000048,500,0
21,1200.9600000000037,500,0
22,427.99999999999966,203,1
23,898.0799999999982,391,1
24,1242.480000000002,500,0
25,1420.720000000003,500,0
26,1504.8000000000052,467,1
27,1100.8800000000003,319,1
28,569.0799999999996,181,1
29,1366.560000000003,378,1
30,1705.0800000000065,500,0
31,940.4799999999992,249,1
32,1869.8000000000084,500,0
33,1098.6000000000001,268,1
34,852.3199999999991,245,1
35,1297.4000000000012,364,1
36,2036.4400000000041,500,0
37,1776.160000000006,500,0
38,1529.6000000000038,383,1
39,1918.2000000000062,425,1
40,1453.4000000000005,332,1
41,1885.080000000003,402,1
42,383.08000000000004,86,1
43,2179.2000000000094,500,0
44,2059.8800000000074,463,1
45,2150.080000000011,500,0
46,2049.4400000000073,442,1
47,2218.8800000000074,500,0
48,2342.000000000005,500,0
49,1625.5200000000025,338,1
50,351.04,68,1
51,2385.1200000000053,500,0
52,1836.1200000000024,356,1
53,797.4400000000002,151,1
54,2356.0400000000045,500,0
55,2617.440000000007,500,0
56,2412.000000000004,500,0
57,2628.680000000007,500,0
58,2643.1600000000117,500,0
59,2435.0800000000095,500,0
60,2659.960000000012,500,0
61,2709.88000000001,500,0
62,2744.8800000000087,500,0
63,2793.8800000000087,500,0
64,2110.040000000002,500,0
65,2766.2000000000075,500,0
66,2601.120000000006,500,0
67,2711.8800000000074,500,0
68,2607.280000000005,474,1
69,2753.9600000000073,500,0
70,1419.8000000000018,266,1
71,1761.2800000000032,325,1
72,2719.280000000006,500,0
73,2758.8800000000047,500,0
74,2729.1200000000067,500,0
75,2694.2400000000057,500,0
76,2865.6000000000045,500,0
77,2795.280000000005,500,0
78,552.1600000000001,108,1
79,2706.360000000005,500,0
80,2247.4000000000055,410,1
81,864.6000000000006,174,1
82,2723.7600000000066,500,0
83,2857.2000000000057,500,0
84,2382.6800000000076,500,0
85,2247.9600000000078,500,0
86,1395.8400000000008,250,1
87,2794.360000000004,500,0
88,566.1599999999999,117,1
89,2754.7200000000134,500,0
90,2180.760000000007,500,0
91,2213.600000000008,500,0
92,2229.440000000009,500,0
93,2874.3200000000097,500,0
94,764.2400000000001,147,1
95,2689.8400000000097,500,0
96,2895.8000000000056,500,0
97,2786.6800000000103,500,0
98,744.4400000000002,138,1
99,2662.7600000000057,500,0
100,1435.4000000000021,253,1
101,2678.560000000008,500,0
102,2679.000000000007,500,0
103,2816.2000000000075,500,0
104,2181.240000000008,500,0
105,2746.680000000005,500,0
106,2754.4000000000055,500,0
107,2774.7200000000066,500,0
108,2216.880000000004,500,0
109,2235.800000000006,500,0
110,2307.2400000000052,500,0
111,2750.8400000000056,500,0
112,2774.3200000000043,500,0
113,2188.6400000000053,500,0
114,2248.480000000001,500,0
115,2420.960000000005,500,0
116,2639.320000000002,500,0
117,2776.440000000007,500,0
118,2541.9200000000064,500,0
119,169.52,37,0
