episode,return,steps,goal
1,-276.0000000000018,500,0
2,448.0399999999988,453,1
3,415.11999999999915,479,1
4,-312.00000000000176,500,0
5,358.79999999999876,500,0
6,1526.8000000000013,485,1
7,802.039999999999,273,1
8,644.7199999999997,234,1
9,482.3599999999997,152,1
10,1159.3999999999996,500,0
11,998.3999999999979,500,0
12,1258.9999999999995,400,1
13,1658.6000000000054,500,0
14,1238.479999999998,276,1
15,1172.2,500,0
16,1506.1600000000055,412,1
17,1220.719999999999,244,1
18,1292.6,340,1
19,874.319999999999,164,1
20,1590.800000000008,500,0
21,1794.0000000000098,475,1
22,1638.5200000000048,394,1
23,1856.0400000000072,413,1
24,1872.0000000000086,420,1
25,1274.039999999999,263,1
26,1049.6799999999987,206,1
27,1835.1200000000028,384,1
28,1031.439999999999,178,1
29,1608.6400000000006,273,1
30,1465.0400000000004,248,1
31,2578.4000000000124,500,0
32,2066.64000000001,468,1
33,2075.6000000000136,500,0
34,2382.4000000000115,500,0
35,2269.600000000017,500,0
36,2201.600000000013,500,0
37,2594.760000000007,432,1
38,2335.5600000000063,387,1
39,2848.1200000000113,419,1
40,1989.8000000000136,500,0
41,2309.6400000000103,398,1
42,1671.0400000000036,273,1
43,1441.9599999999996,207,1
44,1763.1200000000003,289,1
45,2137.400000000005,500,0
46,1687.8799999999999,246,1
47,2972.2800000000143,491,1
48,756.7599999999995,92,1
49,1626.800000000002,225,1
50,1437.6000000000004,180,1
51,1271.1199999999985,184,1
52,1312.8799999999997,176,1
53,2173.6800000000053,346,1
54,3165.0000000000146,500,0
55,2984.040000000014,488,1
56,3519.2000000000176,485,1
57,1906.1200000000008,299,1
58,3085.0000000000205,500,0
59,1368.1999999999994,215,1
60,1176.7199999999984,144,1
61,2330.5200000000063,369,1
62,3358.6000000000204,500,0
63,1463.2400000000011,213,1
64,619.1199999999998,49,1
65,1863.7600000000011,257,1
66,3363.20000000002,500,0
67,2929.040000000014,408,1
68,1210.4799999999984,151,1
69,3325.8000000000175,500,0
70,3010.8000000000197,500,0
71,2742.6400000000085,388,1
72,2380.0000000000064,345,1
73,3642.80000000002,500,0
74,2113.760000000003,282,1
75,3136.200000000012,425,1
76,3082.2800000000107,421,1
77,3386.000000000018,500,0
78,2387.3600000000047,337,1
79,2724.8000000000097,375,1
80,2969.6000000000267,500,0
81,3671.600000000015,500,0
82,2714.7200000000093,369,1
83,2845.4000000000265,500,0
84,1074.639999999999,138,1
85,3161.000000000016,500,0
86,2744.800000000012,395,1
87,2078.0000000000077,500,0
88,3080.8000000000297,500,0
89,3072.400000000028,500,0
90,3022.600000000028,500,0
91,1529.8000000000022,500,0
92,2552.4000000000146,500,0
93,2286.6000000000245,500,0
94,2334.600000000016,500,0
95,2817.600000000017,500,0
96,1826.2400000000025,233,1
97,2105.2800000000043,306,1
98,1001.1999999999996,115,1
99,983.7599999999995,142,1
100,1581.0800000000022,211,1
101,523.1999999999998,50,1
102,2530.9600000000137,387,1
103,3411.2000000000244,500,0
104,3528.880000000023,466,1
105,2942.000000000015,500,0
106,3322.5600000000163,427,1
107,2344.64000000001,338,1
108,3225.4000000000315,500,0
109,3544.800000000023,500,0
110,2858.00000000001,390,1
111,3217.2000000000294,500,0
112,3317.400000000034,500,0
113,3583.2000000000194,500,0
114,3252.2000000000303,500,0
115,2933.200000000021,500,0
116,3294.4000000000324,500,0
117,3532.0000000000264,500,0
118,3573.2000000000307,500,0
119,3403.4000000000337,500,0
120,3416.8000000000256,500,0
121,3227.20000000003,500,0
122,3432.400000000035,500,0
123,3521.6000000000226,500,0
124,3475.200000000025,500,0
125,3474.600000000033,500,0
126,3270.200000000032,500,0
127,2731.04000000002,403,0
