episode,return,steps,goal
1,-63.00000000000172,500,0
2,266.19999999999953,290,1
3,133.19999999999865,425,1
4,406.59999999999997,500,0
5,-156.20000000000218,500,0
6,986.5999999999981,500,0
7,713.3999999999978,500,0
8,781.7599999999989,362,1
9,1734.2800000000052,461,1
10,366.19999999999845,500,0
11,430.1999999999989,385,1
12,833.7999999999992,250,1
13,1220.0799999999983,366,1
14,1710.440000000004,463,1
15,1348.4399999999998,393,1
16,1393.88,336,1
17,984.6799999999992,176,1
18,1492.8,350,1
19,1819.4000000000115,500,0
20,1113.3599999999988,277,1
21,1270.519999999999,364,1
22,1518.0400000000034,363,1
23,1808.400000000008,500,0
24,2173.4800000000096,486,1
25,1626.0400000000045,393,1
26,582.1199999999998,79,1
27,1621.560000000004,342,1
28,1404.6800000000014,276,1
29,1276.9599999999987,247,1
30,1273.7599999999998,232,1
31,1092.5999999999985,190,1
32,2147.200000000013,500,0
33,1198.6399999999987,213,1
34,1876.000000000013,500,0
35,1399.680000000001,256,1
36,2076.760000000007,392,1
37,2175.200000000013,500,0
38,1951.080000000005,311,1
39,1628.2000000000035,280,1
40,1932.3200000000047,299,1
41,1788.2400000000057,333,1
42,1254.679999999999,211,1
43,2580.7600000000134,462,1
44,1096.8399999999988,183,1
45,1415.3200000000008,224,1
46,642.3599999999997,97,1
47,1905.6800000000048,306,1
48,1384.0,245,1
49,727.4399999999997,88,1
50,2545.000000000014,500,0
51,1710.4400000000019,278,1
52,1486.0400000000013,213,1
53,1290.7999999999997,180,1
54,1872.0000000000066,500,0
55,2085.000000000009,500,0
56,2715.1600000000158,457,1
57,2534.40000000002,500,0
58,2971.800000000019,500,0
59,1426.1999999999998,200,1
60,3032.2000000000157,500,0
61,2989.4000000000165,500,0
62,685.1999999999996,90,1
63,783.3199999999996,104,1
64,1623.239999999999,228,1
65,3211.1600000000117,467,1
66,3201.4000000000187,500,0
67,1279.9599999999987,162,1
68,1208.5999999999988,155,1
69,2058.96,277,1
70,2319.6400000000044,298,1
71,2426.520000000009,349,1
72,977.0399999999995,113,1
73,1077.3199999999993,144,1
74,2440.7200000000103,374,1
75,1217.199999999999,165,1
76,686.0399999999997,93,1
77,866.1199999999997,104,1
78,1311.839999999999,208,1
79,1491.4,220,1
80,1745.3200000000036,264,1
81,2522.4000000000174,500,0
82,1244.9999999999986,175,1
83,2574.000000000009,410,1
84,2370.520000000006,359,1
85,3061.3600000000156,412,1
86,1373.0000000000002,170,1
87,1650.2800000000018,251,1
88,992.2399999999991,153,1
89,1407.9999999999998,200,1
90,1168.4799999999987,161,1
91,1225.3599999999994,172,1
92,1073.119999999999,134,1
93,879.8799999999994,96,1
94,1326.6399999999994,208,1
95,546.3199999999998,54,1
96,1098.7599999999989,127,1
97,1965.040000000002,243,1
98,609.5199999999998,59,1
99,985.1999999999991,130,1
100,3216.7200000000107,429,1
101,3583.0000000000127,500,0
102,885.3999999999991,100,1
103,1349.7199999999987,179,1
104,3047.0000000000164,500,0
105,2002.280000000001,421,1
106,1957.0400000000004,248,1
107,3786.4400000000132,498,1
108,1437.4799999999993,176,1
109,1606.1999999999991,220,1
110,809.9199999999994,84,1
111,1004.639999999999,123,1
112,3115.7600000000148,407,1
113,3699.8000000000225,500,0
114,1855.2400000000007,243,1
115,2492.040000000007,318,1
116,2468.400000000008,335,1
117,2223.2400000000043,298,1
118,866.3599999999992,97,1
119,2787.04000000001,403,1
120,841.3199999999997,89,1
121,3182.560000000014,427,1
122,3687.6000000000167,500,0
123,2548.7200000000057,309,1
124,2421.6800000000026,306,1
125,2596.480000000005,321,1
126,2865.0000000000073,355,1
127,3363.8000000000175,500,0
128,3794.800000000012,500,0
129,2147.6000000000067,260,1
130,3676.960000000016,477,1
131,2429.080000000004,351,1
132,1476.2799999999986,236,1
133,3319.9600000000128,422,1
134,1763.640000000003,233,1
135,2247.520000000003,294,1
136,909.879999999999,106,1
137,3486.6000000000113,500,0
138,3417.200000000021,500,0
139,3824.000000000007,500,0
140,3816.000000000015,500,0
141,3266.000000000014,500,0
142,2384.600000000006,345,1
143,3283.6000000000145,500,0
144,3561.0000000000164,500,0
145,3410.3200000000083,429,1
146,1410.96,157,1
147,3739.0000000000114,500,0
148,3226.4000000000265,500,0
149,3156.8000000000197,500,0
150,3419.000000000019,500,0
151,2108.4400000000005,268,1
152,3598.400000000015,500,0
153,3077.000000000017,500,0
154,3328.640000000016,473,0
