episode,return,steps,goal
1,-188.6000000000019,500,0
2,479.91999999999905,429,1
3,358.04000000000013,253,1
4,248.2399999999987,498,1
5,-191.20000000000203,500,0
6,739.6399999999993,323,1
7,505.75999999999976,152,1
8,941.4799999999989,316,1
9,1052.5999999999988,500,0
10,1128.2399999999986,298,1
11,873.639999999999,313,1
12,699.6799999999992,326,1
13,895.1999999999978,500,0
14,1539.6000000000072,500,0
15,1821.80000000001,500,0
16,1938.5200000000061,454,1
17,1042.6399999999983,268,1
18,1082.839999999999,228,1
19,1759.0000000000045,500,0
20,1442.2,305,1
21,2081.400000000008,500,0
22,1692.240000000006,428,1
23,2235.8000000000116,500,0
24,1736.8000000000018,320,1
25,2501.200000000013,500,0
26,1334.0799999999986,221,1
27,1506.3999999999999,340,1
28,1449.32,289,1
29,1438.9599999999996,287,1
30,2415.4000000000137,500,0
31,1165.7999999999984,225,1
32,1301.599999999999,305,1
33,1128.5999999999983,225,1
34,1035.9999999999977,500,0
35,1370.0000000000005,240,1
36,2441.0800000000095,431,1
37,2650.0000000000123,500,0
38,1744.120000000006,334,1
39,2294.480000000007,366,1
40,2060.6800000000057,331,1
41,2637.800000000015,500,0
42,2447.6000000000136,500,0
43,2343.5200000000095,399,1
44,797.1999999999996,110,1
45,2297.2400000000075,428,1
46,2519.280000000007,446,1
47,1940.840000000004,318,1
48,2752.600000000013,500,0
49,2845.600000000015,500,0
50,2691.200000000011,430,1
51,2270.6000000000186,500,0
52,2370.720000000008,459,1
53,2594.600000000016,500,0
54,3121.4000000000183,500,0
55,3157.4000000000174,500,0
56,1467.7599999999989,202,1
57,1466.3199999999997,194,1
58,1820.0400000000031,263,1
59,2309.2000000000085,370,1
60,2292.200000000008,320,1
61,2816.2000000000257,500,0
62,2982.040000000013,438,1
63,3418.6000000000186,500,0
64,1245.9199999999992,154,1
65,3352.000000000018,500,1
66,2500.4400000000087,398,1
67,921.9599999999992,102,1
68,2046.800000000001,290,1
69,3415.200000000013,500,0
70,3480.200000000023,500,0
71,2724.0800000000113,401,1
72,1641.5199999999998,219,1
73,3290.800000000014,435,1
74,1518.44,188,1
75,2736.160000000012,372,1
76,1619.1200000000015,199,1
77,3433.000000000025,500,0
78,3596.4000000000237,500,0
79,2524.2800000000107,341,1
80,3437.40000000002,500,0
81,3474.000000000019,500,0
82,3160.9200000000155,379,1
83,2351.1600000000085,367,1
84,2734.6800000000085,361,1
85,2267.600000000006,295,1
86,3809.8000000000225,500,0
87,3702.4800000000146,491,1
88,1611.9600000000012,207,1
89,2977.280000000007,351,1
90,3566.6000000000236,500,0
91,986.2799999999988,101,1
92,3707.0000000000227,500,0
93,2928.6800000000167,386,1
94,3560.6000000000267,500,0
95,2431.960000000007,332,1
96,2189.9600000000037,292,1
97,1565.4400000000007,203,1
98,3606.720000000022,449,1
99,2978.6400000000135,383,1
100,3184.0800000000118,401,1
101,3867.2000000000253,500,0
102,3931.600000000029,500,0
103,3928.4000000000265,500,0
104,3127.720000000012,364,1
105,1642.6000000000006,185,1
106,3906.8000000000234,500,0
107,2483.6000000000154,500,0
108,3429.000000000023,500,0
109,3147.3200000000147,409,1
110,3045.0000000000127,500,1
111,934.0399999999993,113,1
112,1359.9999999999995,160,1
113,4110.200000000022,500,0
114,4121.0000000000255,500,0
115,3627.00000000002,430,1
116,1137.7199999999973,439,1
117,3500.2000000000166,420,1
118,3303.5600000000145,402,1
119,2363.680000000005,291,1
120,3357.0800000000168,381,1
121,3809.6000000000167,500,0
122,3882.000000000022,500,0
123,3575.6000000000186,500,0
124,2963.7600000000107,372,1
125,1705.1600000000014,197,1
126,3302.8000000000206,500,0
127,3682.600000000025,500,0
128,1133.7199999999991,119,1
129,1778.2800000000009,216,1
130,3296.4000000000183,445,1
131,581.4399999999995,78,0
